#,P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
1*,0.89,7,11786586.13,72.31,1.6867
2,0.9,7,11786586.13,72.31,1.6867
3,0.91,7,11786586.13,72.31,1.6867
4,1.01,5,11777409.25,71.55,1.3015
5,1.02,5,11777409.25,71.55,1.3015
6,0.88,7,11511747.28,70.63,1.6559
7,0.99,5,11199185.28,68.04,1.2005
8,1,5,11199185.28,68.04,1.2005
9,0.86,7,11011339.08,67.56,1.5231
10,0.87,7,11011339.08,67.56,1.5231
11,0.91,5,10997732.13,66.82,1.1743
12,0.92,5,10997732.13,66.82,1.1743
13,1.01,4,10727887.05,65.18,1.0799
14,1.02,4,10727887.05,65.18,1.0799
15,0.92,7,10696582.70,65.62,1.4889
16,0.85,7,10663455.53,65.42,1.4889
17,0.47,11,10479374.58,63.67,0.9526
18,0.98,5,10352559.35,62.90,1.0892
19,0.9,5,10305843.33,62.61,1.0940
20,0.81,7,10170934.93,62.40,1.3932
21,0.82,7,10170934.93,62.40,1.3932
22,0.83,7,10170934.93,62.40,1.3932
23,0.84,7,10170934.93,62.40,1.3932
24,1,4,10149663.08,61.67,1.0000
25,0.72,8,10133762.33,62.17,1.3708
26,0.97,5,10080321.40,61.24,1.0604
27,0.98,4,10074605.13,61.21,1.0005
28,0.99,4,10074605.13,61.21,1.0005
29,0.89,5,9989794.83,60.69,1.0236
30,1.08,4,9935370.88,60.95,1.3323
31,0.96,5,9919090.08,60.26,1.0070
32,1.03,4,9734623.80,59.14,1.0350
33,0.86,5,9719684.95,59.05,0.9954
34,0.87,5,9719684.95,59.05,0.9954
35,0.88,5,9719684.95,59.05,0.9954
36,0.46,11,9686518.15,58.85,0.8429
37,0.57,10,9672457.78,59.34,1.1154
38,0.58,10,9672457.78,59.34,1.1154
39,0.89,6,9482932.18,58.18,1.2068
40,0.9,6,9482932.18,58.18,1.2068
41,0.91,6,9482932.18,58.18,1.2068
42,0.71,8,9464557.33,58.07,1.2353
43,0.86,6,9208093.33,56.49,1.1776
44,0.87,6,9208093.33,56.49,1.1776
45,0.88,6,9208093.33,56.49,1.1776
46,0.93,5,9079033.98,55.16,0.9239
47,0.94,5,9079033.98,55.16,0.9239
48,0.95,5,9079033.98,55.16,0.9239
49,0.92,6,9066739.15,55.63,1.1652
50,0.7,8,8972036.73,55.04,1.1420
51,0.8,7,8846193.85,54.27,1.1563
52,0.78,7,8485993.60,52.06,1.0852
53,0.79,7,8485993.60,52.06,1.0852
54,0.56,10,8443434.78,51.80,0.9391
55,1.07,4,8373172.15,51.37,1.0511
56,1.1,4,8356924.88,51.27,1.1595
57,0.64,8,8222819.88,50.45,0.9344
58,0.65,8,8222819.88,50.45,0.9344
59,0.55,10,8169704.18,50.12,0.8815
60,0.83,5,8128574.95,49.39,0.5900
61,0.84,5,8128574.95,49.39,0.5900
62,0.96,4,8108121.38,49.26,0.6439
63,0.97,4,8108121.38,49.26,0.6439
64,0.85,5,8093679.92,49.17,0.5870
65,0.51,10,8088118.50,49.62,0.7328
66,0.74,7,8044782.55,49.36,1.0208
67,0.75,7,8044782.55,49.36,1.0208
68,0.76,7,8044782.55,49.36,1.0208
69,0.77,7,8044782.55,49.36,1.0208
70,1.33,2,8009470.70,49.14,0.6761
71,1.34,2,8009470.70,49.14,0.6761
72,0.54,10,7955226.20,48.81,0.8670
73,0.52,10,7935290.30,48.68,0.7255
74,1.09,4,7919060.18,48.58,1.0451
75,0.45,11,7915685.50,48.09,0.6226
76,1.31,2,7885814.82,48.38,0.6605
77,1.06,4,7882962.15,48.36,0.9228
78,1.03,5,7806034.33,47.43,1.0306
79,2.29,2,7805870.63,53.79,1.0300
80,2.3,2,7805870.63,53.79,1.0300
81,2.31,2,7805870.63,53.79,1.0300
82,2.32,2,7805870.63,53.79,1.0300
83,2.33,2,7805870.63,53.79,1.0300
84,2.34,2,7805870.63,53.79,1.0300
85,2.35,2,7805870.63,53.79,1.0300
86,2.36,2,7805870.63,53.79,1.0300
87,2.37,2,7805870.63,53.79,1.0300
88,2.38,2,7805870.63,53.79,1.0300
89,0.4,12,7687542.73,47.16,0.5686
90,1.32,2,7679617.55,47.12,0.6373
91,0.48,10,7604568.93,46.20,0.5885
92,2.24,2,7542106.47,51.97,0.9414
93,2.25,2,7542106.47,51.97,0.9414
94,2.26,2,7542106.47,51.97,0.9414
95,2.27,2,7542106.47,51.97,0.9414
96,2.28,2,7542106.47,51.97,0.9414
97,0.66,8,7526842.30,46.18,0.7703
98,0.67,8,7526842.30,46.18,0.7703
99,0.69,8,7514433.18,46.10,0.8028
100,0.58,9,7267771.70,44.59,0.7992
101,1.04,4,7264968.73,44.57,0.8695
102,1.05,4,7264968.73,44.57,0.8695
103,0.82,6,7234204.75,44.38,0.6609
104,0.83,6,7234204.75,44.38,0.6609
105,0.84,6,7234204.75,44.38,0.6609
106,0.85,6,7234204.75,44.38,0.6609
107,0.36,16,7182294.40,44.06,0.5993
108,0.37,16,7182294.40,44.06,0.5993
109,1.25,2,7027211.50,43.11,0.4731
110,2.23,2,6993786.85,48.19,0.8534
111,0.53,10,6939167.90,42.57,0.6410
112,0.82,5,6914828.15,42.01,0.4399
113,1.23,2,6879904.02,42.21,0.4467
114,1.24,2,6879904.02,42.21,0.4467
115,0.48,16,6879388.32,47.41,0.6413
116,0.49,16,6879388.32,47.41,0.6413
117,2.21,2,6751680.80,46.53,0.7843
118,2.22,2,6751680.80,46.53,0.7843
119,0.72,7,6747181.08,41.39,0.8764
120,0.73,7,6747181.08,41.39,0.8764
121,0.47,10,6742639.30,40.97,0.5196
122,0.68,8,6706168.03,41.14,0.7395
123,1.03,3,6673059.35,40.54,0.5025
124,0.59,10,6668476.40,40.91,1.0370
125,0.23,33,6628558.03,40.27,0.4461
126,1.26,2,6564944.40,40.28,0.4456
127,0.39,12,6535767.47,40.10,0.4226
128,0.76,9,6515995.63,39.98,1.1856
129,0.77,9,6515995.63,39.98,1.1856
130,0.78,9,6515995.63,39.98,1.1856
131,0.24,32,6406172.20,38.92,0.5706
132,0.24,33,6406172.20,38.92,0.5706
133,2.2,2,6267011.70,43.19,0.6631
134,0.52,14,6261120.83,38.41,0.7134
135,1.62,2,6252540.85,38.36,0.5692
136,0.91,4,6221741.03,37.80,0.3691
137,0.92,4,6221741.03,37.80,0.3691
138,1.2,2,6214803.87,38.13,0.3718
139,1.21,2,6214803.87,38.13,0.3718
140,1.22,2,6214803.87,38.13,0.3718
141,2.39,2,6199652.62,42.72,0.7655
142,2.4,2,6199652.62,42.72,0.7655
143,2.41,2,6199652.62,42.72,0.7655
144,2.42,2,6199652.62,42.72,0.7655
145,2.43,2,6199652.62,42.72,0.7655
146,0.95,4,6110624.55,37.13,0.3798
147,0.7,7,6077976.08,37.29,0.7516
148,0.71,7,6077976.08,37.29,0.7516
149,0.74,9,6015587.42,36.91,1.0410
150,0.75,9,6015587.42,36.91,1.0410
151,0.51,14,5902392.53,36.21,0.6754
152,0.46,16,5811868.55,40.05,0.5160
153,0.44,11,5780917.30,35.12,0.3881
154,0.5,10,5755741.25,35.31,0.5664
155,0.38,16,5715520.33,35.07,0.4042
156,0.39,16,5715520.33,35.07,0.4042
157,0.62,7,5711545.43,34.70,0.2898
158,0.24,24,5707341.65,34.68,0.7359
159,0.81,6,5693016.85,34.93,0.4423
160,0.73,8,5672177.40,34.80,0.9271
161,0.64,7,5648095.78,34.65,0.5813
162,0.65,7,5648095.78,34.65,0.5813
163,0.94,4,5644130.70,34.29,0.3278
164,1.41,2,5643141.93,34.62,0.3621
165,1.3,2,5636314.78,34.58,0.3325
166,0.4,16,5626259.00,34.52,0.3945
167,0.57,9,5590127.80,34.30,0.5940
168,1.18,2,5586468.47,34.27,0.3353
169,1.19,2,5586468.47,34.27,0.3353
170,0.9,4,5529852.22,33.60,0.3016
171,0.66,7,5441046.80,33.38,0.4810
172,0.67,7,5441046.80,33.38,0.4810
173,1.58,2,5436836.90,33.36,0.5148
174,1.59,2,5436836.90,33.36,0.5148
175,1.6,2,5436836.90,33.36,0.5148
176,1.61,2,5436836.90,33.36,0.5148
177,0.23,32,5414977.32,32.90,0.3476
178,0.5,14,5401984.33,33.14,0.5764
179,0.36,12,5382258.32,32.70,0.2083
180,0.33,17,5376467.98,37.05,0.4437
181,0.79,5,5338745.22,32.44,0.2374
182,0.8,5,5338745.22,32.44,0.2374
183,0.81,5,5338745.22,32.44,0.2374
184,0.63,8,5323659.78,32.66,0.3984
185,0.93,4,5314277.55,32.29,0.2827
186,1.35,2,5281556.80,32.40,0.2999
187,1.36,2,5281556.80,32.40,0.2999
188,1.37,2,5281556.80,32.40,0.2999
189,1.38,2,5281556.80,32.40,0.2999
190,1.39,2,5281556.80,32.40,0.2999
191,1.4,2,5281556.80,32.40,0.2999
192,1.36,3,5280684.35,34.54,0.7104
193,1.37,3,5280684.35,34.54,0.7104
194,0.35,17,5276404.22,36.36,0.4209
195,0.51,17,5271405.88,37.16,0.8861
196,0.52,17,5271405.88,37.16,0.8861
197,0.96,3,5245458.45,31.87,0.3161
198,0.5,16,5236813.72,36.92,0.4941
199,0.51,16,5236813.72,36.92,0.4941
200,0.52,16,5236813.72,36.92,0.4941
201,0.53,16,5236813.72,36.92,0.4941
202,1.5,2,5223867.82,32.05,0.4532
203,0.89,4,5213803.72,31.68,0.2435
204,0.52,13,5165860.63,31.69,0.5606
205,0.48,14,5128253.73,31.46,0.5221
206,0.49,14,5128253.73,31.46,0.5221
207,1.06,5,5082546.37,31.18,0.7843
208,1.07,5,5082546.37,31.18,0.7843
209,0.45,16,5062706.60,34.89,0.3738
210,2.18,2,5062299.53,34.88,0.3980
211,2.19,2,5062299.53,34.88,0.3980
212,0.72,9,5047371.17,30.97,0.9158
213,0.73,9,5047371.17,30.97,0.9158
214,0.26,28,4998864.68,34.45,0.4525
215,1.06,3,4968572.48,30.48,0.4331
216,1.02,3,4935048.83,29.98,0.4005
217,1.11,4,4888603.20,29.99,0.7699
218,0.78,5,4872251.38,29.60,0.1896
219,0.46,10,4817453.50,29.27,0.2560
220,0.5,13,4807132.33,29.49,0.5241
221,0.51,13,4807132.33,29.49,0.5241
222,1.27,2,4805492.65,29.48,0.2313
223,1.28,2,4805492.65,29.48,0.2313
224,1.29,2,4805492.65,29.48,0.2313
225,0.43,16,4793000.45,29.41,0.3280
226,0.44,16,4793000.45,29.41,0.3280
227,0.62,8,4765835.73,29.24,0.3232
228,0.62,9,4759689.05,29.20,0.6705
229,0.23,34,4712252.83,28.63,0.2483
230,1.05,3,4698462.60,28.83,0.4153
231,0.37,12,4628156.95,28.12,0.1749
232,0.38,12,4628156.95,28.12,0.1749
233,0.47,14,4614283.83,28.31,0.4983
234,0.48,13,4612320.88,28.30,0.5199
235,0.88,4,4587315.53,27.87,0.1438
236,2.16,2,4561891.33,31.44,0.2701
237,2.17,2,4561891.33,31.44,0.2701
238,0.55,9,4537965.68,27.84,0.3846
239,0.56,9,4537965.68,27.84,0.3846
240,0.74,8,4528593.75,27.78,0.7397
241,0.75,8,4528593.75,27.78,0.7397
242,0.76,8,4528593.75,27.78,0.7397
243,0.77,8,4528593.75,27.78,0.7397
244,0.78,8,4528593.75,27.78,0.7397
245,0.52,9,4518029.78,27.72,0.3168
246,1.48,2,4515258.22,27.70,0.3334
247,1.49,2,4515258.22,27.70,0.3334
248,0.61,7,4510621.35,27.40,0.1397
249,0.48,15,4397542.63,30.30,0.4323
250,0.49,15,4397542.63,30.30,0.4323
251,0.7,9,4378166.17,26.86,0.7699
252,0.71,9,4378166.17,26.86,0.7699
253,0.54,16,4376390.03,30.85,0.7172
254,1.04,5,4374462.57,26.84,0.6717
255,1.05,5,4374462.57,26.84,0.6717
256,0.79,9,4372771.63,26.83,0.9359
257,0.76,14,4358362.88,30.72,1.2467
258,0.76,15,4358362.88,30.72,1.2467
259,0.76,16,4358362.88,30.72,1.2467
260,0.77,14,4358362.88,30.72,1.2467
261,0.77,15,4358362.88,30.72,1.2467
262,0.77,16,4358362.88,30.72,1.2467
263,0.78,14,4358362.88,30.72,1.2467
264,0.78,15,4358362.88,30.72,1.2467
265,0.78,16,4358362.88,30.72,1.2467
266,0.79,13,4358362.88,30.72,1.2467
267,0.79,14,4358362.88,30.72,1.2467
268,0.79,15,4358362.88,30.72,1.2467
269,0.79,16,4358362.88,30.72,1.2467
270,0.8,13,4358362.88,30.72,1.2467
271,0.8,14,4358362.88,30.72,1.2467
272,0.8,15,4358362.88,30.72,1.2467
273,0.8,16,4358362.88,30.72,1.2467
274,0.81,13,4358362.88,30.72,1.2467
275,0.81,14,4358362.88,30.72,1.2467
276,0.81,15,4358362.88,30.72,1.2467
277,0.81,16,4358362.88,30.72,1.2467
278,0.82,13,4358362.88,30.72,1.2467
279,0.82,14,4358362.88,30.72,1.2467
280,0.82,15,4358362.88,30.72,1.2467
281,0.82,16,4358362.88,30.72,1.2467
282,1.48,3,4339546.80,29.90,0.5182
283,0.41,11,4332386.97,26.32,0.2062
284,1.17,2,4320431.70,26.51,0.2313
285,0.43,11,4318096.82,26.24,0.2520
286,0.93,7,4316299.63,26.48,0.7093
287,0.47,16,4310026.75,29.70,0.3691
288,0.68,7,4304324.03,26.41,0.3720
289,0.49,10,4303198.38,26.40,0.3480
290,0.76,13,4293734.15,30.27,1.2086
291,0.77,13,4293734.15,30.27,1.2086
292,0.78,13,4293734.15,30.27,1.2086
293,0.39,11,4279769.90,26.00,0.1459
294,0.48,11,4264813.98,25.91,0.4647
295,0.35,12,4229917.47,25.70,0.1308
296,0.26,27,4201640.48,28.95,0.3696
297,0.61,9,4199871.05,25.77,0.6080
298,0.4,11,4190508.57,25.46,0.1384
299,1.08,5,4181684.25,25.66,0.5961
300,1.09,5,4181684.25,25.66,0.5961
301,1.1,5,4181684.25,25.66,0.5961
302,1.11,5,4181684.25,25.66,0.5961
303,0.33,18,4179653.72,28.80,0.2983
304,0.54,9,4179237.38,25.64,0.3497
305,0.98,6,4178030.78,25.63,0.6831
306,1.35,3,4147630.02,27.13,0.5370
307,0.46,17,4137669.40,29.17,0.3458
308,0.49,13,4133020.98,25.36,0.4144
309,0.28,24,4130060.83,25.34,0.6837
310,0.47,13,4098350.97,25.14,0.4976
311,1.55,2,4094722.82,25.12,0.3455
312,1.56,2,4094722.82,25.12,0.3455
313,1.57,2,4094722.82,25.12,0.3455
314,0.24,31,4079379.40,24.78,0.3676
315,2.15,2,4076487.35,28.09,0.1821
316,0.5,17,4075816.07,28.73,0.4031
317,0.46,14,4060733.95,24.91,0.4077
318,1.26,4,4054864.77,24.88,0.7849
319,0.42,16,4045039.70,24.82,0.2116
320,0.78,6,4024788.40,24.69,0.2394
321,0.79,6,4024788.40,24.69,0.2394
322,0.8,6,4024788.40,24.69,0.2394
323,0.42,11,4004486.82,24.33,0.2308
324,0.96,6,3905792.83,23.96,0.6475
325,0.97,6,3905792.83,23.96,0.6475
326,0.69,7,3898592.55,23.92,0.2573
327,1.44,3,3874137.90,26.70,0.4343
328,1.45,3,3874137.90,26.70,0.4343
329,1.46,3,3874137.90,26.70,0.4343
330,1.47,3,3874137.90,26.70,0.4343
331,0.6,10,3839138.55,23.55,0.4952
332,1.5,5,3820686.80,26.33,0.6375
333,1.51,5,3820686.80,26.33,0.6375
334,1.51,2,3816067.35,23.41,0.3213
335,1.52,2,3816067.35,23.41,0.3213
336,1.53,2,3816067.35,23.41,0.3213
337,1.54,2,3816067.35,23.41,0.3213
338,0.26,31,3807658.88,26.24,0.1736
339,0.48,17,3802085.47,26.80,0.3428
340,0.49,17,3802085.47,26.80,0.3428
341,0.61,8,3795510.92,23.29,0.2238
342,0.77,5,3769434.57,22.90,0.0519
343,0.48,9,3763706.83,22.87,0.2100
344,1.48,5,3756058.08,25.88,0.6081
345,1.49,5,3756058.08,25.88,0.6081
346,0.51,18,3755791.60,26.48,0.4774
347,0.52,18,3755791.60,26.48,0.4774
348,0.53,18,3755791.60,26.48,0.4774
349,0.41,16,3723394.95,22.84,0.1673
350,0.51,9,3712653.18,22.78,0.2290
351,0.37,15,3710662.10,22.77,0.2802
352,0.86,3,3691412.27,22.43,-0.0149
353,0.88,10,3655682.70,22.43,0.7741
354,0.32,17,3649745.38,25.15,0.1917
355,0.47,12,3605267.55,22.12,0.4141
356,0.49,9,3598532.18,22.08,0.4114
357,0.5,9,3598532.18,22.08,0.4114
358,0.71,6,3593508.25,22.05,0.0758
359,0.76,10,3591053.97,22.03,0.7536
360,0.77,10,3591053.97,22.03,0.7536
361,0.78,10,3591053.97,22.03,0.7536
362,0.79,10,3591053.97,22.03,0.7536
363,0.8,10,3591053.97,22.03,0.7536
364,0.81,10,3591053.97,22.03,0.7536
365,0.82,10,3591053.97,22.03,0.7536
366,0.83,10,3591053.97,22.03,0.7536
367,0.84,10,3591053.97,22.03,0.7536
368,0.85,10,3591053.97,22.03,0.7536
369,0.86,10,3591053.97,22.03,0.7536
370,0.87,10,3591053.97,22.03,0.7536
371,0.77,6,3583577.35,21.99,0.1962
372,1.87,2,3579522.35,21.96,0.2931
373,1.88,2,3579522.35,21.96,0.2931
374,0.24,30,3564898.13,21.66,0.2744
375,0.93,6,3547064.53,21.76,0.5940
376,0.94,6,3547064.53,21.76,0.5940
377,0.95,6,3547064.53,21.76,0.5940
378,0.46,13,3544801.10,21.75,0.4114
379,0.46,18,3544475.53,24.99,0.1769
380,0.27,22,3527398.10,21.64,0.7227
381,0.24,26,3523412.60,21.41,0.3770
382,0.53,9,3521907.38,21.61,0.2291
383,0.87,4,3512735.85,21.34,0.0503
384,0.53,17,3511954.13,24.76,0.4479
385,1.21,4,3504445.65,21.50,0.6628
386,1.22,4,3504445.65,21.50,0.6628
387,1.23,4,3504445.65,21.50,0.6628
388,0.26,37,3411763.83,24.05,0.0393
389,0.26,38,3411763.83,24.05,0.0393
390,0.26,39,3411763.83,24.05,0.0393
391,0.26,40,3411763.83,24.05,0.0393
392,0.26,41,3411763.83,24.05,0.0393
393,0.26,42,3411763.83,24.05,0.0393
394,0.27,37,3411763.83,24.05,0.0393
395,0.27,38,3411763.83,24.05,0.0393
396,0.27,39,3411763.83,24.05,0.0393
397,0.27,40,3411763.83,24.05,0.0393
398,1.91,2,3411129.47,20.93,0.3287
399,1.92,2,3411129.47,20.93,0.3287
400,1.93,2,3411129.47,20.93,0.3287
401,1.04,3,3409369.85,20.92,0.3057
402,0.72,5,3395549.20,20.63,-0.0153
403,0.45,17,3388507.45,23.89,0.2024
404,0.26,43,3386347.13,23.87,0.0399
405,0.51,8,3367266.28,20.66,0.2209
406,1.42,2,3360033.50,20.61,0.2150
407,0.24,25,3347341.30,20.34,0.3443
408,0.46,15,3330022.85,22.95,0.3123
409,0.45,14,3311572.00,20.32,0.2771
410,1.16,2,3309127.60,20.30,0.1627
411,1.85,2,3304683.50,20.27,0.2673
412,1.86,2,3304683.50,20.27,0.2673
413,0.24,23,3283013.72,19.95,0.2921
414,0.76,17,3268359.45,23.04,0.8980
415,0.76,18,3268359.45,23.04,0.8980
416,0.77,17,3268359.45,23.04,0.8980
417,0.77,18,3268359.45,23.04,0.8980
418,0.78,17,3268359.45,23.04,0.8980
419,0.78,18,3268359.45,23.04,0.8980
420,0.79,17,3268359.45,23.04,0.8980
421,0.79,18,3268359.45,23.04,0.8980
422,0.8,17,3268359.45,23.04,0.8980
423,0.8,18,3268359.45,23.04,0.8980
424,0.81,17,3268359.45,23.04,0.8980
425,0.81,18,3268359.45,23.04,0.8980
426,0.82,17,3268359.45,23.04,0.8980
427,0.82,18,3268359.45,23.04,0.8980
428,0.93,11,3268359.45,23.04,0.8980
429,0.94,11,3268359.45,23.04,0.8980
430,0.95,11,3268359.45,23.04,0.8980
431,0.96,11,3268359.45,23.04,0.8980
432,0.97,11,3268359.45,23.04,0.8980
433,0.98,11,3268359.45,23.04,0.8980
434,0.99,11,3268359.45,23.04,0.8980
435,2.17,4,3268359.45,23.04,0.8980
436,2.18,4,3268359.45,23.04,0.8980
437,2.19,4,3268359.45,23.04,0.8980
438,2.2,4,3268359.45,23.04,0.8980
439,2.21,4,3268359.45,23.04,0.8980
440,2.22,4,3268359.45,23.04,0.8980
441,2.23,4,3268359.45,23.04,0.8980
442,2.24,4,3268359.45,23.04,0.8980
443,2.25,4,3268359.45,23.04,0.8980
444,2.26,4,3268359.45,23.04,0.8980
445,2.27,4,3268359.45,23.04,0.8980
446,2.28,4,3268359.45,23.04,0.8980
447,2.29,3,3268359.45,23.04,0.8980
448,2.29,4,3268359.45,23.04,0.8980
449,2.3,3,3268359.45,23.04,0.8980
450,2.3,4,3268359.45,23.04,0.8980
451,2.31,3,3268359.45,23.04,0.8980
452,2.31,4,3268359.45,23.04,0.8980
453,2.32,3,3268359.45,23.04,0.8980
454,2.32,4,3268359.45,23.04,0.8980
455,2.33,3,3268359.45,23.04,0.8980
456,2.33,4,3268359.45,23.04,0.8980
457,2.34,3,3268359.45,23.04,0.8980
458,2.34,4,3268359.45,23.04,0.8980
459,2.35,3,3268359.45,23.04,0.8980
460,2.35,4,3268359.45,23.04,0.8980
461,2.36,3,3268359.45,23.04,0.8980
462,2.36,4,3268359.45,23.04,0.8980
463,2.37,3,3268359.45,23.04,0.8980
464,2.37,4,3268359.45,23.04,0.8980
465,2.38,3,3268359.45,23.04,0.8980
466,2.38,4,3268359.45,23.04,0.8980
467,2.39,3,3268359.45,23.04,0.8980
468,2.39,4,3268359.45,23.04,0.8980
469,2.4,3,3268359.45,23.04,0.8980
470,2.4,4,3268359.45,23.04,0.8980
471,2.41,3,3268359.45,23.04,0.8980
472,2.41,4,3268359.45,23.04,0.8980
473,2.42,3,3268359.45,23.04,0.8980
474,2.42,4,3268359.45,23.04,0.8980
475,2.43,3,3268359.45,23.04,0.8980
476,2.43,4,3268359.45,23.04,0.8980
477,2.44,3,3268359.45,23.04,0.8980
478,2.44,4,3268359.45,23.04,0.8980
479,2.45,3,3268359.45,23.04,0.8980
480,2.45,4,3268359.45,23.04,0.8980
481,2.46,3,3268359.45,23.04,0.8980
482,2.46,4,3268359.45,23.04,0.8980
483,2.47,3,3268359.45,23.04,0.8980
484,2.47,4,3268359.45,23.04,0.8980
485,2.48,3,3268359.45,23.04,0.8980
486,2.48,4,3268359.45,23.04,0.8980
487,2.49,3,3268359.45,23.04,0.8980
488,2.49,4,3268359.45,23.04,0.8980
489,2.5,3,3268359.45,23.04,0.8980
490,2.5,4,3268359.45,23.04,0.8980
491,2.51,3,3268359.45,23.04,0.8980
492,2.51,4,3268359.45,23.04,0.8980
493,2.52,3,3268359.45,23.04,0.8980
494,2.52,4,3268359.45,23.04,0.8980
495,2.53,3,3268359.45,23.04,0.8980
496,2.53,4,3268359.45,23.04,0.8980
497,2.54,3,3268359.45,23.04,0.8980
498,2.54,4,3268359.45,23.04,0.8980
499,2.55,3,3268359.45,23.04,0.8980
500,2.55,4,3268359.45,23.04,0.8980
501,2.56,3,3268359.45,23.04,0.8980
502,2.56,4,3268359.45,23.04,0.8980
503,0.75,6,3267528.85,20.05,0.1383
504,0.76,6,3267528.85,20.05,0.1383
505,0.26,30,3259339.25,22.46,0.1191
506,0.26,23,3253654.70,19.96,0.6980
507,0.73,5,3242570.20,19.70,-0.0205
508,1.47,2,3241145.18,19.88,0.1813
509,1.15,2,3237270.03,19.86,0.1270
510,1.34,3,3236715.02,21.17,0.3765
511,2.55,1,3236581.45,21.84,0.0129
512,2.56,1,3236581.45,21.84,0.0129
513,2.57,1,3236581.45,21.84,0.0129
514,2.58,1,3236581.45,21.84,0.0129
515,2.59,1,3236581.45,21.84,0.0129
516,0.6,9,3223531.40,19.78,0.4570
517,0.52,20,3222937.50,22.72,0.2900
518,0.53,20,3222937.50,22.72,0.2900
519,0.24,28,3218361.65,19.55,0.2607
520,0.68,14,3217027.08,22.68,0.6137
521,0.68,15,3217027.08,22.68,0.6137
522,0.68,16,3217027.08,22.68,0.6137
523,0.69,14,3217027.08,22.68,0.6137
524,0.69,15,3217027.08,22.68,0.6137
525,0.69,16,3217027.08,22.68,0.6137
526,0.7,14,3217027.08,22.68,0.6137
527,0.7,15,3217027.08,22.68,0.6137
528,0.7,16,3217027.08,22.68,0.6137
529,0.71,14,3217027.08,22.68,0.6137
530,0.71,15,3217027.08,22.68,0.6137
531,0.71,16,3217027.08,22.68,0.6137
532,0.72,14,3217027.08,22.68,0.6137
533,0.72,15,3217027.08,22.68,0.6137
534,0.72,16,3217027.08,22.68,0.6137
535,0.73,14,3217027.08,22.68,0.6137
536,0.73,15,3217027.08,22.68,0.6137
537,0.73,16,3217027.08,22.68,0.6137
538,0.74,14,3217027.08,22.68,0.6137
539,0.74,15,3217027.08,22.68,0.6137
540,0.74,16,3217027.08,22.68,0.6137
541,0.75,14,3217027.08,22.68,0.6137
542,0.75,15,3217027.08,22.68,0.6137
543,0.75,16,3217027.08,22.68,0.6137
544,0.8,12,3217027.08,22.68,0.6137
545,0.81,12,3217027.08,22.68,0.6137
546,0.82,12,3217027.08,22.68,0.6137
547,0.83,11,3217027.08,22.68,0.6137
548,0.84,11,3217027.08,22.68,0.6137
549,0.85,11,3217027.08,22.68,0.6137
550,0.86,11,3217027.08,22.68,0.6137
551,0.87,11,3217027.08,22.68,0.6137
552,0.88,11,3217027.08,22.68,0.6137
553,0.89,11,3217027.08,22.68,0.6137
554,0.9,11,3217027.08,22.68,0.6137
555,0.91,11,3217027.08,22.68,0.6137
556,0.29,24,3212203.75,19.71,0.4180
557,0.38,11,3208225.52,19.49,0.0284
558,1.24,4,3200268.07,19.63,0.6474
559,1.25,4,3200268.07,19.63,0.6474
560,1.16,4,3179140.43,19.50,0.5883
561,1.17,4,3179140.43,19.50,0.5883
562,0.7,6,3176163.63,19.49,0.0398
563,0.69,9,3173454.00,19.47,0.5127
564,0.27,21,3167895.88,19.44,0.4161
565,0.68,13,3152398.35,22.22,0.5887
566,0.69,13,3152398.35,22.22,0.5887
567,0.7,12,3152398.35,22.22,0.5887
568,0.7,13,3152398.35,22.22,0.5887
569,0.71,12,3152398.35,22.22,0.5887
570,0.71,13,3152398.35,22.22,0.5887
571,0.72,12,3152398.35,22.22,0.5887
572,0.72,13,3152398.35,22.22,0.5887
573,0.73,12,3152398.35,22.22,0.5887
574,0.73,13,3152398.35,22.22,0.5887
575,0.74,12,3152398.35,22.22,0.5887
576,0.74,13,3152398.35,22.22,0.5887
577,0.75,12,3152398.35,22.22,0.5887
578,0.75,13,3152398.35,22.22,0.5887
579,0.76,12,3152398.35,22.22,0.5887
580,0.77,12,3152398.35,22.22,0.5887
581,0.78,12,3152398.35,22.22,0.5887
582,0.79,12,3152398.35,22.22,0.5887
583,0.25,39,3147999.68,22.19,-0.0370
584,0.25,40,3147999.68,22.19,-0.0370
585,0.25,41,3147999.68,22.19,-0.0370
586,0.25,42,3147999.68,22.19,-0.0370
587,1.18,4,3144245.40,19.29,0.5850
588,1.19,4,3144245.40,19.29,0.5850
589,1.2,4,3144245.40,19.29,0.5850
590,0.26,25,3134537.53,19.23,0.4524
591,1.83,2,3134156.00,19.23,0.2492
592,1.84,2,3134156.00,19.23,0.2492
593,0.75,5,3128328.50,19.01,-0.0345
594,0.76,5,3128328.50,19.01,-0.0345
595,0.25,43,3122582.98,22.01,-0.0361
596,0.25,44,3122582.98,22.01,-0.0361
597,0.52,15,3113696.33,21.95,0.3186
598,0.53,14,3113696.33,21.95,0.3186
599,0.53,15,3113696.33,21.95,0.3186
600,1.59,3,3104341.85,21.39,0.1408
601,0.73,10,3090645.77,18.96,0.5949
602,0.74,10,3090645.77,18.96,0.5949
603,0.75,10,3090645.77,18.96,0.5949
604,0.84,3,3082692.20,18.73,-0.0740
605,0.59,7,3053220.25,18.55,-0.0796
606,2.15,3,3051058.13,21.02,0.3123
