P:N1,P:N2,净利润,年化收益率%
50,1,0,0
50,2,2549161.75,224.3
50,3,2549161.75,224.3
50,4,2549161.75,224.3
50,5,2549161.75,224.3
50,6,2549161.75,224.3
50,7,2549161.75,224.3
50,8,2549161.75,224.3
50,9,2549161.75,224.3
50,10,2549161.75,224.3
50,11,2384002.45,209.76
50,12,2394797.05,210.71
50,13,1151328.25,101.3
50,14,1151328.25,101.3
50,15,1151328.25,101.3
50,16,1151328.25,101.3
50,17,1151328.25,101.3
50,18,1151328.25,101.3
50,19,1151328.25,101.3
50,20,1151328.25,101.3
50,21,1151328.25,101.3
50,22,1151328.25,101.3
50,23,1151328.25,101.3
50,24,1151328.25,101.3
50,25,1419412.9,124.89
50,26,1419412.9,124.89
50,27,945240.08,83.17
50,28,605124.2,53.24
50,29,941860.3,82.87
50,30,941860.3,82.87
50,31,941860.3,82.87
50,32,941860.3,82.87
50,33,941860.3,82.87
50,34,423291.5,39
50,35,0,0
50,36,0,0
50,37,0,0
50,38,0,0
50,39,0,0
50,40,0,0
50,41,0,0
50,42,0,0
50,43,0,0
50,44,0,0
50,45,0,0
50,46,0,0
50,47,0,0
50,48,0,0
50,49,0,0
50,50,0,0
49,1,0,0
49,2,2549161.75,224.3
49,3,2549161.75,224.3
49,4,2549161.75,224.3
49,5,2549161.75,224.3
49,6,2549161.75,224.3
49,7,2549161.75,224.3
49,8,2549161.75,224.3
49,9,2549161.75,224.3
49,10,2549161.75,224.3
49,11,2384002.45,209.76
49,12,2394797.05,210.71
49,13,1151328.25,101.3
49,14,1151328.25,101.3
49,15,1151328.25,101.3
49,16,1151328.25,101.3
49,17,1151328.25,101.3
49,18,1151328.25,101.3
49,19,1151328.25,101.3
49,20,1151328.25,101.3
49,21,1151328.25,101.3
49,22,1151328.25,101.3
49,23,1151328.25,101.3
49,24,1151328.25,101.3
49,25,1419412.9,124.89
49,26,1419412.9,124.89
49,27,945240.08,83.17
49,28,605124.2,53.24
49,29,941860.3,82.87
49,30,941860.3,82.87
49,31,941860.3,82.87
49,32,941860.3,82.87
49,33,941860.3,82.87
49,34,423291.5,39
49,35,0,0
49,36,0,0
49,37,0,0
49,38,0,0
49,39,0,0
49,40,0,0
49,41,0,0
49,42,0,0
49,43,0,0
49,44,0,0
49,45,0,0
49,46,0,0
49,47,0,0
49,48,0,0
49,49,0,0
49,50,0,0
48,1,0,0
48,2,2549161.75,224.3
48,3,2549161.75,224.3
48,4,2549161.75,224.3
48,5,2549161.75,224.3
48,6,2549161.75,224.3
48,7,2549161.75,224.3
48,8,2549161.75,224.3
48,9,2549161.75,224.3
48,10,2549161.75,224.3
48,11,2384002.45,209.76
48,12,2394797.05,210.71
48,13,1151328.25,101.3
48,14,1151328.25,101.3
48,15,1151328.25,101.3
48,16,1151328.25,101.3
48,17,1151328.25,101.3
48,18,1151328.25,101.3
48,19,1151328.25,101.3
48,20,1151328.25,101.3
48,21,1151328.25,101.3
48,22,1151328.25,101.3
48,23,1151328.25,101.3
48,24,1151328.25,101.3
48,25,1419412.9,124.89
48,26,1419412.9,124.89
48,27,945240.08,83.17
48,28,605124.2,53.24
48,29,941860.3,82.87
48,30,941860.3,82.87
48,31,941860.3,82.87
48,32,941860.3,82.87
48,33,941860.3,82.87
48,34,423291.5,39
48,35,0,0
48,36,0,0
48,37,0,0
48,38,0,0
48,39,0,0
48,40,0,0
48,41,0,0
48,42,0,0
48,43,0,0
48,44,0,0
48,45,0,0
48,46,0,0
48,47,0,0
48,48,0,0
48,49,0,0
48,50,0,0
47,1,0,0
47,2,-438505.2,-40.88
47,3,1151328.25,101.3
47,4,2549161.75,224.3
47,5,2549161.75,224.3
47,6,2549161.75,224.3
47,7,2549161.75,224.3
47,8,2549161.75,224.3
47,9,2549161.75,224.3
47,10,2549161.75,224.3
47,11,2384002.45,209.76
47,12,1151328.25,101.3
47,13,1151328.25,101.3
47,14,1151328.25,101.3
47,15,1151328.25,101.3
47,16,1151328.25,101.3
47,17,1151328.25,101.3
47,18,1151328.25,101.3
47,19,1151328.25,101.3
47,20,1151328.25,101.3
47,21,1151328.25,101.3
47,22,1151328.25,101.3
47,23,1151328.25,101.3
47,24,1151328.25,101.3
47,25,1419412.9,124.89
47,26,1419412.9,124.89
47,27,945240.08,83.17
47,28,605124.2,53.24
47,29,941860.3,82.87
47,30,941860.3,82.87
47,31,941860.3,82.87
47,32,941860.3,82.87
47,33,941860.3,82.87
47,34,423291.5,39
47,35,0,0
47,36,0,0
47,37,0,0
47,38,0,0
47,39,0,0
47,40,0,0
47,41,0,0
47,42,0,0
47,43,0,0
47,44,0,0
47,45,0,0
47,46,0,0
47,47,0,0
47,48,0,0
47,49,0,0
47,50,0,0
46,1,0,0
46,2,-438505.2,-40.88
46,3,2549161.75,224.3
46,4,2549161.75,224.3
46,5,2549161.75,224.3
46,6,2549161.75,224.3
46,7,2549161.75,224.3
46,8,2549161.75,224.3
46,9,3141594.55,276.42
46,10,3110078.8,273.65
46,11,2819256.7,248.06
46,12,1419412.9,124.89
46,13,1151328.25,101.3
46,14,1151328.25,101.3
46,15,1151328.25,101.3
46,16,1151328.25,101.3
46,17,1151328.25,101.3
46,18,1151328.25,101.3
46,19,1151328.25,101.3
46,20,1151328.25,101.3
46,21,1151328.25,101.3
46,22,1151328.25,101.3
46,23,1151328.25,101.3
46,24,1151328.25,101.3
46,25,1419412.9,124.89
46,26,1419412.9,124.89
46,27,945240.08,83.17
46,28,941860.3,82.87
46,29,941860.3,82.87
46,30,941860.3,82.87
46,31,941860.3,82.87
46,32,941860.3,82.87
46,33,941860.3,82.87
46,34,423291.5,39
46,35,0,0
46,36,0,0
46,37,0,0
46,38,0,0
46,39,0,0
46,40,0,0
46,41,0,0
46,42,0,0
46,43,0,0
46,44,0,0
46,45,0,0
46,46,0,0
46,47,0,0
46,48,0,0
46,49,0,0
46,50,0,0
45,1,0,0
45,2,-2092570.2,-195.08
45,3,2346807.75,231.14
45,4,2549161.75,224.3
45,5,691243.65,64.44
45,6,2549161.75,224.3
45,7,3194120.8,281.04
45,8,3159103.3,277.96
45,9,3141594.55,276.42
45,10,3110078.8,273.65
45,11,2819256.7,248.06
45,12,1419412.9,124.89
45,13,1419412.9,124.89
45,14,1151328.25,101.3
45,15,1151328.25,101.3
45,16,1151328.25,101.3
45,17,1151328.25,101.3
45,18,1151328.25,101.3
45,19,1151328.25,101.3
45,20,1151328.25,101.3
45,21,1151328.25,101.3
45,22,1151328.25,101.3
45,23,1151328.25,101.3
45,24,1151328.25,101.3
45,25,1419412.9,124.89
45,26,1419412.9,124.89
45,27,945240.08,83.17
45,28,941860.3,82.87
45,29,941860.3,82.87
45,30,941860.3,82.87
45,31,941860.3,82.87
45,32,941860.3,82.87
45,33,941860.3,82.87
45,34,423291.5,39
45,35,0,0
45,36,0,0
45,37,0,0
45,38,0,0
45,39,0,0
45,40,0,0
45,41,0,0
45,42,0,0
45,43,0,0
45,44,0,0
45,45,0,0
45,46,0,0
45,47,0,0
45,48,0,0
