P:N1,P:N2,净利润,年化收益率%,夏普比率
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,0,0,0
1,5,0,0,0
1,6,0,0,0
1,7,0,0,0
1,8,0,0,0
1,9,0,0,0
1,10,0,0,0
1,11,0,0,0
1,12,0,0,0
1,13,0,0,0
1,14,0,0,0
1,15,0,0,0
1,16,0,0,0
1,17,0,0,0
1,18,0,0,0
1,19,0,0,0
1,20,0,0,0
1,21,0,0,0
1,22,0,0,0
1,23,0,0,0
1,24,0,0,0
1,25,0,0,0
1,26,0,0,0
1,27,0,0,0
1,28,0,0,0
1,29,0,0,0
1,30,0,0,0
1,31,0,0,0
1,32,0,0,0
1,33,0,0,0
1,34,0,0,0
1,35,0,0,0
1,36,0,0,0
1,37,0,0,0
1,38,0,0,0
1,39,0,0,0
1,40,0,0,0
1,41,0,0,0
1,42,0,0,0
1,43,0,0,0
1,44,0,0,0
1,45,0,0,0
1,46,0,0,0
1,47,0,0,0
1,48,0,0,0
1,49,0,0,0
1,50,0,0,0
2,1,0,0,0
2,2,0,0,0
2,3,518280.17,47.88,0.3374
2,4,1120197.15,99.12,0.6729
2,5,997043.6,92.11,0.6627
2,6,1638620.27,144.99,1.0501
2,7,658331.35,60.26,0.4792
2,8,42856.13,3.92,0.0847
2,9,-129994.32,-12.37,-0.0016
2,10,-580176.72,-55.2,-0.2517
2,11,-545059.18,-51.86,-0.2345
2,12,-819354.37,-77.96,-0.382
2,13,-1043932.9,-99.33,-0.4969
2,14,-1139480.65,-108.42,-0.5683
2,15,-1706389.02,-162.36,-0.8943
2,16,-1122310.15,-106.78,-0.5877
2,17,-875262.67,-83.28,-0.4404
2,18,-158776.8,-15.11,-0.0149
2,19,-293844.3,-27.96,-0.0929
2,20,114106.13,10.86,0.1501
2,21,31547.43,3,0.0983
2,22,-45414.07,-4.32,0.0489
2,23,-906011.02,-84.77,-0.5392
2,24,-750089.02,-70.18,-0.4303
2,25,-514499.6,-48.95,-0.2664
2,26,-514499.6,-48.95,-0.2664
2,27,535785.77,51.86,0.5035
2,28,535785.77,51.86,0.5035
2,29,1107011.1,108.69,1.0559
2,30,1028109.25,104.57,1.0092
2,31,913301.88,92.89,0.92
2,32,997043.72,101.41,0.9975
2,33,1658539,168.69,1.7083
2,34,1593321.63,162.05,1.7055
2,35,1541817,151.59,1.6143
2,36,1597669.45,163.85,1.7562
2,37,1722307.1,176.83,1.9041
2,38,1322926.5,140.14,1.5198
2,39,-103642.2,-10.51,-0.1899
2,40,-433807.42,-43.02,-1.7069
2,41,0,0,0
2,42,0,0,0
2,43,0,0,0
2,44,0,0,0
2,45,0,0,0
2,46,0,0,0
2,47,0,0,0
2,48,0,0,0
2,49,0,0,0
2,50,0,0,0
3,1,0,0,0
3,2,300615.45,28.87,0.1444
3,3,0,0,0
3,4,779729.17,68.99,0.5157
3,5,152075.22,13.92,0.0962
3,6,-183654.4,-17.41,-0.0477
3,7,287683.85,26.33,0.2152
3,8,749821.6,68.64,0.4541
3,9,854677.5,81.02,0.5124
3,10,5058.02,0.48,0.0661
3,11,-60477.55,-5.75,0.0326
3,12,-394523.02,-37.54,-0.139
3,13,56388.15,5.54,0.1285
3,14,250185,24.56,0.2414
3,15,266900.63,26.2,0.2585
3,16,965640.92,94.79,0.7509
3,17,633852.4,62.23,0.5473
3,18,768919.9,75.49,0.6308
3,19,631651.3,62.02,0.5379
3,20,826147.8,81.11,0.7033
3,21,-161749.18,-15.39,-0.0161
3,22,-238710.68,-22.71,-0.0662
3,23,-828729.38,-77.54,-0.4765
3,24,-729778.88,-68.28,-0.4175
3,25,-494539.63,-47.05,-0.2537
3,26,-522075.85,-49.67,-0.2753
3,27,-522075.85,-49.67,-0.2753
3,28,-522075.85,-49.67,-0.2753
3,29,66530.63,6.33,0.1399
3,30,66530.63,6.33,0.1399
3,31,-117243.38,-11.16,0.0362
3,32,-33501.52,-3.19,0.0861
3,33,1160977.13,110.46,1.0944
3,34,1593321.63,162.05,1.7055
3,35,1541817,151.59,1.6143
3,36,1597669.45,163.85,1.7562
3,37,1552311.75,158.29,1.6771
3,38,1322926.5,140.14,1.5198
3,39,-103642.2,-10.51,-0.1899
3,40,-433807.42,-43.02,-1.7069
3,41,0,0,0
3,42,0,0,0
3,43,0,0,0
3,44,0,0,0
3,45,0,0,0
3,46,0,0,0
3,47,0,0,0
3,48,0,0,0
3,49,0,0,0
3,50,0,0,0
4,1,0,0,0
4,2,934934.2,84.32,0.4637
4,3,1939305.6,183.84,1.292
4,4,0,0,0
4,5,-1454280.58,-137.77,-0.8278
4,6,-407441.9,-38.63,-0.1532
4,7,45804.85,4.19,0.0928
4,8,619148.17,56.68,0.3879
4,9,1272489.05,120.63,0.8451
4,10,891916.25,87.55,0.6181
4,11,882461.52,86.62,0.6168
4,12,309822.07,30.41,0.2757
4,13,99116.77,9.73,0.1554
4,14,274704.52,26.97,0.2635
4,15,-315111.17,-30.93,-0.1381
4,16,544715.13,53.48,0.4719
4,17,598091.8,58.72,0.5096
4,18,598742.13,58.78,0.5096
4,19,730336.42,71.71,0.6201
4,20,926267.32,90.94,0.7733
4,21,916472.22,89.98,0.7756
4,22,728966.02,71.57,0.6264
4,23,-68370.15,-6.35,-0.0422
4,24,-5695.8,-0.53,0.0242
4,25,233445.4,22.42,0.259
4,26,233445.4,22.42,0.259
4,27,-673961.45,-64.13,-0.3722
4,28,-701497.67,-66.75,-0.3949
4,29,265.35,0.03,0.1057
4,30,265.35,0.03,0.1057
4,31,-117243.38,-11.16,0.0362
4,32,-33501.52,-3.19,0.0861
4,33,1160977.13,110.46,1.0944
4,34,1593321.63,162.05,1.7055
4,35,1541817,151.59,1.6143
4,36,1597669.45,163.85,1.7562
4,37,1552311.75,158.29,1.6771
4,38,1322926.5,140.14,1.5198
4,39,-103642.2,-10.51,-0.1899
4,40,-433807.42,-43.02,-1.7069
4,41,0,0,0
4,42,0,0,0
4,43,0,0,0
4,44,0,0,0
4,45,0,0,0
4,46,0,0,0
4,47,0,0,0
4,48,0,0,0
4,49,0,0,0
4,50,0,0,0
5,1,0,0,0
5,2,2302653.15,238.76,2.4105
5,3,2079839.02,211.76,1.7454
5,4,-878165.63,-76.06,-0.5694
5,5,0,0,0
